,0,1,2,3,4,5,6
10,11.,04-Sep-2023 06:00 PM,25-Oct-2023 11:00 AM,26-Oct-2023 11:30 AM,[Development of 4 lane Economic Corridor from Before Mayurakshi Bridge Approach to Moregram section  Km 180.000 to Km 230.957 of NH116A (Package 5) in the state of West Bengal under HAM Mode.][NHAI/WB//EC/Kharagpur Moregram/Greenfield/Pkg-5/20][2023_NHAI_166611_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,"12,26,91,00,000"
11,12.,04-Sep-2023 06:00 PM,11-Sep-2023 03:00 PM,11-Sep-2023 03:05 PM,"[NIT No. 13, Item No. 01][EE(M-I)NGZ/MCD/2023-24/13][2023_SDMC_166564_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC,NA
12,13.,04-Sep-2023 06:00 PM,11-Sep-2023 03:00 PM,11-Sep-2023 03:05 PM,"[NIT No. 13, Item No. 03][EE(M-I)NGZ/MCD/2023-24/13][2023_SDMC_166564_3]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC,"4,65,725"
13,14.,04-Sep-2023 06:00 PM,11-Sep-2023 10:00 AM,12-Sep-2023 10:15 AM,[IMP. DEV. OF 10 BLOCK][EE(M-II)/KPZ/TC/2023-24/27/03][2023_MCD_166575_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"23,09,590"
14,15.,04-Sep-2023 06:00 PM,11-Sep-2023 03:00 PM,11-Sep-2023 03:05 PM,"[NIT No. 13, Item No. 04][EE(M-I)NGZ/MCD/2023-24/13][2023_SDMC_166564_4]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC,"3,17,006"
15,16.,04-Sep-2023 06:00 PM,11-Sep-2023 10:00 AM,12-Sep-2023 10:15 AM,[IMP. DEV. OF ROAD][EE(M-II)/KPZ/TC/2023-24/27/01][2023_MCD_166568_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"29,98,102"
16,17.,04-Sep-2023 06:00 PM,26-Sep-2023 06:00 PM,28-Sep-2023 11:00 AM,"[Grass cutting work inside the Operational area during 2023-24 at Ayodhya Airport,Ayodhya][AAI/AYO/ENGG(C)/GT/W-07/23-24][2023_AAI_166472_1]",Airports Authority of India||North East Region - AAI||GUWAHATI - AAI||ENGG CIVIL-VEGT - AAI,"34,78,000"
17,18.,04-Sep-2023 06:00 PM,09-Oct-2023 11:30 AM,10-Oct-2023 03:00 PM,[Spare parts for OTIS Elevator][3/PE230595/1][2023_UCIL_166573_1],Uranium Corporation of India Limited||Purchase Department-Jharkhand - UCIL||Group 3 - UCIL,NA
18,19.,04-Sep-2023 06:00 PM,11-Sep-2023 03:00 PM,11-Sep-2023 03:05 PM,"[Improvement Development of khyalla Phirni Road side berm and drainage system by pdg. B/W, 12mm Cement Plaster, RMC etc. from Baba Ramdev Marg Road to PWD 100 Ft. B-1 Block in Ward No.008-S/WZ in Khyalla.][ E.E.(M-I)/WZ/2023-24/TC/27/02][2023_MCD_166596_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,NA
19,20.,04-Sep-2023 06:00 PM,19-Sep-2023 02:00 PM,20-Sep-2023 02:30 PM,"[Construction of toilet facility and repairing the building at Helan Nagar Community Hall, Udhaya Marthandam Govt. High School and Midalam Women Self Help Group Library building][IREL/MK/ET/30/2023][2023_IREL_166567_1]",IREL (INDIA) Limited||Corporate Office Mumbai - IREL,"23,49,390"
20,21.,04-Sep-2023 06:00 PM,09-Oct-2023 11:30 AM,10-Oct-2023 03:00 PM,[Spare parts for OTIS Elevator][3/PE230595/1][2023_UCIL_166573_1],Uranium Corporation of India Limited||Purchase Department-Jharkhand - UCIL||Group 3 - UCIL,NA
21,22.,04-Sep-2023 06:00 PM,11-Sep-2023 10:00 AM,12-Sep-2023 10:15 AM,[IMP. DEV. OF ROAD][EE(M-II)/KPZ/TC/2023-24/27/01][2023_MCD_166568_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"29,98,102"
22,23.,04-Sep-2023 06:00 PM,26-Sep-2023 06:00 PM,28-Sep-2023 11:00 AM,"[Grass cutting work inside the Operational area during 2023-24 at Ayodhya Airport,Ayodhya][AAI/AYO/ENGG(C)/GT/W-07/23-24][2023_AAI_166472_1]",Airports Authority of India||North East Region - AAI||GUWAHATI - AAI||ENGG CIVIL-VEGT - AAI,"34,78,000"
23,24.,04-Sep-2023 06:00 PM,11-Sep-2023 03:00 PM,11-Sep-2023 03:05 PM,"[NIT No. 13, Item No. 03][EE(M-I)NGZ/MCD/2023-24/13][2023_SDMC_166564_3]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC,"4,65,725"
24,25.,04-Sep-2023 06:00 PM,11-Sep-2023 03:00 PM,11-Sep-2023 03:05 PM,"[NIT No. 13, Item No. 01][EE(M-I)NGZ/MCD/2023-24/13][2023_SDMC_166564_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC,NA
25,26.,04-Sep-2023 05:50 PM,18-Oct-2023 11:00 AM,19-Oct-2023 11:30 AM,[Operation and Maintenance of Rest Area Facility amenity at Nagasarang Ch. 200.980 on Ranchi to Jamshedpur section of NH 33 under jurisdiction of RO Ranchi PIU Ranchi 2nd Call][NHAI/RO/RNC/JH/Rest Area/NH-33/33][2023_NHAI_166613_1],National Highways Authority of India||RO-Ranchi - NHAI,0.00
26,27.,04-Sep-2023 05:40 PM,12-Sep-2023 04:00 PM,13-Sep-2023 04:30 PM,[Limited RFP for Selection of System Integrator for implementation and OM services of ETC System at Toll Plazas on National Highways][IHMCL/LTE-RFP/HYBRID ETC/2023/06][2023_NHAI_166610_1],National Highways Authority of India||Indian Highways Management Company Limited,0.00
27,28.,04-Sep-2023 05:30 PM,18-Oct-2023 11:00 AM,19-Oct-2023 11:30 AM,[Operation and Maintenance of Rest Area Facility amenity at Deori  Ch.181.370 on Ranchi to Jamshedpur section of NH 33 under jurisdiction of RO Ranchi PIU Ranchi 2nd Call][NHAI/RO/RNC/JH/Rest Area/NH-33/32][2023_NHAI_166609_1],National Highways Authority of India||RO-Ranchi - NHAI,0.00
28,29.,04-Sep-2023 05:30 PM,26-Sep-2023 02:00 PM,27-Sep-2023 02:00 PM,[RJ/B378-200-YZ-MR-2470/245][RJ/B378-200-YZ-MR-2470/245][2023_GAIL_162894_1],GAIL (India) Limited||Project Management Consultant-PMC for GAIL India Ltd||ENGINEERS INDIA LIMITED-PMC,NA
29,30.,04-Sep-2023 05:30 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[Non-Comprehensive Annual Maintenance Contract][IGIB/2-5C/118/23-24(475)][2023_CSIR_166608_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR,NA
30,31.,04-Sep-2023 05:30 PM,11-Sep-2023 05:00 PM,12-Sep-2023 01:00 PM,"[Supply of PVC Pipe, Bamboo Broom, Hassian Cloth and Agro Shade Net for Parks and Nursery in Ward No. 145, Central Zone][DDH/CNZ/MCD/2023-24/D-527/NIT No.8][2023_MCD_166548_1]",Municipal Corporation of Delhi||Horticulture Department - MCD,"1,99,975"
31,32.,04-Sep-2023 05:30 PM,11-Sep-2023 05:00 PM,12-Sep-2023 01:00 PM,"[Supply of PVC Pipe, Bamboo Broom, Hassian Cloth, Petrol Lawn Mover, Tree Pruner and Katiya for parks and gardens in Ward No. 179, Central Zone][DDH/CNZ/MCD/2023-24/527/NIT No.8 ][2023_MCD_166549_1]",Municipal Corporation of Delhi||Horticulture Department - MCD,"1,99,878"
32,33.,04-Sep-2023 05:15 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[Procurement of TSI Spares of Main Turbine and TDBFP][100001027][2023_APCPL_163112_2],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,NA
33,34.,04-Sep-2023 05:00 PM,25-Sep-2023 05:00 PM,26-Sep-2023 05:00 PM,"[Supply, Turn-Key Installation and Commissioning of Hydraulic Hot Press Machine][1(PEQ)/08/23-24/PUR/T-13][2023_CSIR_166604_1]",Council of Scientific and Industrial Research||NEIST-Jorhat - CSIR||Purchase-NEIST - CSIR,NA
34,35.,04-Sep-2023 05:00 PM,27-Sep-2023 02:00 PM,28-Sep-2023 03:00 PM,[ASCO-19/11(11)/1/2021-PLANNING TZP][ASCO-19/11(11)/1/2021-PLANNING TZP][2023_BSNL_166576_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Assam Telecom Circle Guwahati||GMTD, Tezpur","15,78,600"
35,36.,04-Sep-2023 05:00 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[Comprehensive Annual Maintenance Contract][IGIB/2-5C/117/23-24(474)][2023_CSIR_166602_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR,NA
36,37.,04-Sep-2023 05:00 PM,13-Sep-2023 03:00 PM,15-Sep-2023 01:00 PM,"[SITC of  Access control System , CCTV Surveillance System, Split AC units for Power Plant and EI and MV panel  for SMPS for 4G Mini DC at Durgapur Industries TE, WB circle (SH SITC of Access control System and CCTV Surveillance System ).][31/BSNL ED-ASL/2023-24 dated 04.09.2023][2023_BSNL_166597_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Electrical),NA
37,38.,04-Sep-2023 05:00 PM,09-Sep-2023 05:00 PM,11-Sep-2023 05:00 PM,[Supply of Rubber Components][ILP/ SC2/ADP 139/48 TE-0981][2023_ILTD_166592_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala),NA
38,39.,04-Sep-2023 05:00 PM,19-Sep-2023 03:00 PM,20-Sep-2023 03:00 PM,[ PUR/23-24/486/AFLAD/MKS/PO ][PUR/4/23-24/486/AFLAD/MKS/PO][2023_CSIR_166551_1],Council of Scientific and Industrial Research||IIP-Dehradun - CSIR||Purchase-IIP - CSIR,NA
39,40.,04-Sep-2023 05:00 PM,26-Sep-2023 02:00 PM,27-Sep-2023 02:30 PM,"[Supply, Installation, Commissioning, Testing, Training and Documentation of 64 Channel PC Based Data Acquisition System][A3(72210)2023/PUR][2023_CSIR_166547_1]",Council of Scientific and Industrial Research||SERC-Chennai - CSIR||Purchase-SERC - CSIR,NA
40,41.,04-Sep-2023 05:00 PM,09-Sep-2023 05:00 PM,11-Sep-2023 05:00 PM,[Supply of Rubber Components][ILP/ SC2/ADP 139/48 TE-0981][2023_ILTD_166592_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala),NA
41,42.,04-Sep-2023 05:00 PM,09-Sep-2023 05:00 PM,11-Sep-2023 05:00 PM,[SUPPLY OF SPRINGS][ILP/ SC2/ADP 141/48 TE-0982][2023_ILTD_166588_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala),NA
42,43.,04-Sep-2023 05:00 PM,25-Sep-2023 03:00 PM,26-Sep-2023 03:00 PM,[SUPPLY OF IT TOOLS][01(04)/2023-P][2023_CSIR_166584_1],Council of Scientific and Industrial Research||IIIM-Jammu - CSIR||Purchase-IIIM - CSIR,NA
43,44.,04-Sep-2023 05:00 PM,09-Sep-2023 05:00 PM,11-Sep-2023 05:00 PM,[SUPPLY OF VBS SEAT][ILP/SC2/ADP139/48/TE-0989][2023_ILTD_166585_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala),NA
44,45.,04-Sep-2023 05:00 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[NIT-18/CNTXW/MBI /SLA/PDI RT/2023-24/  dtd  04-09-2023][NIT-18/CNTXW/MBI /SLA/PDI RT/23-24 dtd 4.9.23][2023_BSNL_166586_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Region||GMM,WTR Mumbai/ DGMM WTR Thane||SDE Admin, Thane","37,84,726"
45,46.,04-Sep-2023 05:00 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:00 AM,[EEE-II/TC/2023-24/06.1][EEE-II/TC/2023-24/06.1][2023_MCD_166538_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,"1,65,356"
46,47.,04-Sep-2023 05:00 PM,18-Sep-2023 03:00 PM,19-Sep-2023 03:00 PM,"[SUPPLY OF PAINTS, PRIMER AND THINNER][HBL/TEN/PUB/23-24/213][2023_HPCLB_166578_1]",HPCL Biofuels Limited||Purchase (Patna),NA
47,48.,04-Sep-2023 04:50 PM,11-Sep-2023 04:00 PM,12-Sep-2023 04:30 PM,"[ Construction Of BPHU Building at Rupsa in the District of Balasore, Odisha][NPCC/SEZ/CA/BPHU/BAL-RUP/340][2023_NPCC_166590_1]",National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC,NA
48,49.,04-Sep-2023 04:45 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[eTender for Fortinet Outdoor Wireless Access Pint with Fiver Years warranty and Forticare support][4/7(12)2023-Pur./Re-eTender][2023_CSIR_166587_1],Council of Scientific and Industrial Research||IHBT-Palampur - CSIR||Purchase -IHBT - CSIR,NA
49,50.,04-Sep-2023 04:30 PM,27-Sep-2023 06:00 PM,03-Oct-2023 11:00 AM,"[Misc Civil Works for repair and maintenance of Buildings and Quarters at Safdarjung Airport, Jor Bagh Colony and its associated areas for the year 2023-24 ][AAI/DEL/Engg.(C)/JB/Misc/23][2023_AAI_166544_1]",Airports Authority of India||Northern Region - AAI||RHQ-NR - AAI||ENGG CIVIL-NR - AAI,"87,96,000"
50,51.,04-Sep-2023 04:30 PM,25-Sep-2023 11:00 AM,26-Sep-2023 11:30 AM,"[Design, manufacture and supply of 12 cylinders -710 G3B Engine to BLW Part no -16010474 compatible upto 3300 HP Locomotives][2023/RITES/EXPO/LOCO/02/PP][2023_RITES_166369_1]",RITES Ltd.||ROC 1 (Sector 29 Gurugram) - RITES||Expotech - RITES,NA
51,52.,04-Sep-2023 04:30 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:30 PM,[Supply of Rubber Hose][RCF /MM/114(23)][2023_CCI_164424_2],Cement Corporation of India Limted||Rajban Cement Factory - CCI,NA
52,53.,04-Sep-2023 04:15 PM,11-Sep-2023 04:00 PM,12-Sep-2023 04:30 PM,"[Construction Of BPHU Building at Remuna in the District of Balasore, Odisha][NPCC/SEZ/CA/BPHU/BAL-REM/339][2023_NPCC_166579_1]",National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC,NA
53,54.,04-Sep-2023 04:00 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[eTender for Renewal of Fortigate Wireless Controller 300E with one Year License and Support][4/7(28)2023-Pur. ][2023_CSIR_166577_1],Council of Scientific and Industrial Research||IHBT-Palampur - CSIR||Purchase -IHBT - CSIR,NA
54,55.,04-Sep-2023 04:00 PM,19-Sep-2023 04:00 PM,21-Sep-2023 04:00 PM,[Operation and Comprehensive Maintenance of Electromechanical Services at Main TE Bldg Fatehpur and CAMC of TE Bindki.][16/TED-KP/2022-23 dt.14.03.23][2023_BSNL_166569_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Kanpur,"18,02,806"
55,56.,04-Sep-2023 04:00 PM,25-Sep-2023 04:00 PM,26-Sep-2023 04:00 PM,[Supply and Installation of CCTV Surveillance System and Structured LAN][1(PEQ)/07/23-24/PUR/T-11][2023_CSIR_166583_1],Council of Scientific and Industrial Research||NEIST-Jorhat - CSIR||Purchase-NEIST - CSIR,NA
56,57.,04-Sep-2023 04:00 PM,25-Sep-2023 03:00 PM,27-Sep-2023 03:00 PM,"[Extension of Existing Two Wheeler Sheds including replacement of AC Sheets with galvalume sheets for the two wheeler sheds near works gate, Link gate and Admin gate at EFA.][EFA/EO(C)/1278/E/TE/08/2023-24][2023_AVNL_166563_1]",Armoured Vehicles Nigam Limited||Engine Factory Avadi - Avadi,"2,50,20,876"
57,58.,04-Sep-2023 04:00 PM,26-Sep-2023 06:00 PM,03-Oct-2023 11:00 AM,[Disposal of mounds of earth/grass lying near Old MSSR Building to Newly acquired 30. 57 acres of land adjacent to RW 12 East Side Chennai Airport][AAI/CHN/CMD-I/2023/011][2023_AAI_166557_1],Airports Authority of India||Eastern Region - AAI||PORTBLAIR - AAI||ENGG CIVIL-VOPB - AAI,"5,22,84,003"
58,59.,04-Sep-2023 03:50 PM,11-Sep-2023 04:00 PM,12-Sep-2023 04:30 PM,"[Construction Of BPHU Building at Khaira in The District of Balasore, Odisha][NPCC/SEZ/CA/BPHU/BAL- KHA/338][2023_NPCC_166574_1]",National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC,NA
59,60.,04-Sep-2023 03:30 PM,11-Sep-2023 04:00 PM,12-Sep-2023 04:30 PM,"[Construction Of BPHU Building at Gopalpur in the District of Balasore, Odisha][NPCC/SEZ/CA/BPHU/BAL-GOP/337 ][2023_NPCC_166562_1]",National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC,NA
60,61.,04-Sep-2023 03:15 PM,25-Sep-2023 06:00 PM,27-Sep-2023 12:30 PM,"[Outsourcing of Rigger services for BSNL, Non BSNL and IP sites in ][GMTD/MND/CM-PLG/ RIGGER SERVICES/MANDI BA/2022-23/][2023_BSNL_166555_1]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Himachal Pradesh Telecom Circle Shimla||GMTD,Mandi","10,00,000"
61,62.,04-Sep-2023 03:00 PM,19-Sep-2023 03:00 PM,20-Sep-2023 03:00 PM,[MFC SPARE PARTS ][PUR/4/23-24/472/UWRD/BS/PO][2023_CSIR_166535_1],Council of Scientific and Industrial Research||IIP-Dehradun - CSIR||Purchase-IIP - CSIR,NA
62,63.,04-Sep-2023 03:00 PM,12-Sep-2023 10:00 AM,12-Sep-2023 10:00 AM,[10/MWEEE-I/2023-24/TC Item No.1][10/MWEEE-I/2023-24/TC][2023_MCD_166558_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,"1,95,904"
63,64.,04-Sep-2023 03:00 PM,12-Sep-2023 10:00 AM,12-Sep-2023 10:00 AM,[10/MWEEE-I/2023-24/TC Item No.2][10/MWEEE-I/2023-24/TC][2023_MCD_166558_2],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,"13,01,661"
64,65.,04-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,13-Sep-2023 03:00 PM,"[Repairing of wooden and steel (Godrej Make) furniture at CSIR-IICB, Jadavpur, Kolkata-700032.][CSIR_IICB / Admn 26 (789) / E / 2022][2023_CSIR_165117_1]",Council of Scientific and Industrial Research||IICB-Koolkatta - CSIR||ESD-IICB - CSIR,"1,64,000"
65,66.,04-Sep-2023 02:00 PM,26-Sep-2023 06:00 PM,03-Oct-2023 12:00 PM,[Upgradation of 06 Nos 8 Passenger Lift at Staff Quarters Godavari Krishna  and Narmada at Sanchar Awas SARA Colony in BSNL Admin Bldg Compound Santacruz W Mumbai 54.	][NIT NO.25/EEE/BSNL/ED/MI/2023-24][2023_BSNL_166550_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Maharashtra Telecom Circle||CE (E) Mumbai||EE ( E ) Mumbai,NA
66,67.,04-Sep-2023 02:00 PM,12-Sep-2023 03:00 PM,13-Sep-2023 03:00 PM,"[Modification and upgadation of existing sewerage pit to connect with main sewer line in Jadavpur campus and Cleaning of all type of pits and Sewerage/drain lines at CSIR-IICB, Jadavpur and Saltlake Campus, Kolkata.][CSIR_IICB / Admn 26 (829) / E / 2023][2023_CSIR_166285_1]",Council of Scientific and Industrial Research||IICB-Koolkatta - CSIR||ESD-IICB - CSIR,"7,00,000"
67,68.,04-Sep-2023 01:50 PM,11-Sep-2023 04:00 PM,12-Sep-2023 04:30 PM,"[Construction Of BPHU Building at Simulia in the District of Balasore, Odisha][NPCC/SEZ/CA/BPHU/BAL-SIM/336 ][2023_NPCC_166556_1]",National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC,NA
68,69.,04-Sep-2023 01:45 PM,11-Sep-2023 04:00 PM,12-Sep-2023 04:30 PM,"[Construction Of BPHU Building at Basta in the District of Balasore, Odisha][NPCC/SEZ/CA/BPHU/BAL-BAS/335][2023_NPCC_166553_1]",National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC,NA
69,70.,04-Sep-2023 01:00 PM,12-Sep-2023 10:00 AM,12-Sep-2023 10:00 AM,[Electrical Work-CSPZ][MCD/TR/6155/2023_6_1_1/1][2023_MCD_166527_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,"2,42,170"
70,71.,04-Sep-2023 01:00 PM,12-Sep-2023 10:00 AM,12-Sep-2023 10:00 AM,[Electrical Work-CSPZ][MCD/TR/6317/2023_6_1_1/1][2023_MCD_166528_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,"2,47,661"
71,72.,04-Sep-2023 01:00 PM,12-Sep-2023 10:00 AM,12-Sep-2023 10:00 AM,[Electrical Work-CSPZ][MCD/TR/6155/2023_6_1_1/1][2023_MCD_166527_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,"2,42,170"
72,73.,04-Sep-2023 12:30 PM,25-Sep-2023 03:00 PM,26-Sep-2023 03:00 PM,[Repair/Overhauling of high mast poles of height 25/30 meters -Quantity-07 Nos and High mast poles of height 12.5 meters Quantity-12 Nos and replacement of conventional flood lights with LED flood lights in OFMK estate.][76025/TE-39/ OFMK/EOC/HIGH MAST POLES/ 2023-24][2023_AVNL_166537_1],Armoured Vehicles Nigam Limited||Ordnance Factory Medak-Yeddumailaram,"92,86,000"
73,74.,04-Sep-2023 12:10 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:30 PM,[NIT No 17 BCD WGL 2023-24 ][NIT No 17 BCD WGL Karimnagar Switch room][2023_BSNL_166541_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Telengana Telecom Circle- Hyderabad||CE Civil,"10,81,279"
74,75.,04-Sep-2023 12:00 PM,09-Sep-2023 03:00 PM,11-Sep-2023 03:30 PM,[Selection of Consortium Partner for Appointment of Advanced Metering Infrastructure (AMI) Service Provider for Smart Prepaid Metering in Goa on DBFOOT basis][TCIL/ITBD/AMISP/GOA/II/2023][2023_TCIL_166543_1],Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||Business Development Division - TCIL,NA
75,76.,04-Sep-2023 12:00 PM,02-Oct-2023 12:00 PM,03-Oct-2023 12:00 PM,"[Day to day maintenance of ash dykes, ash discharge channels and prevention ][DVC/Head Quarter/CIVIL/W-14][2023_DVC_166475_1]",Damodar Valley Corporation||CTPS Chandrapura - DVC||C and M,"34,00,902"
76,77.,04-Sep-2023 11:50 AM,18-Sep-2023 01:00 PM,19-Sep-2023 03:30 PM,[WAP/ENVT/ESICARMO/NOIDA/23/01][WAP/ENVT/ESICARMO/NOIDA/23/1][2023_WAPCO_166542_1],WAPCOS Limited||Centre for Environment and Construction Management||Environment Division - CECM,"5,30,22,644"
77,78.,04-Sep-2023 11:35 AM,11-Sep-2023 03:00 PM,12-Sep-2023 03:30 PM,[NIT No 18 BCD WGL 40M Tower WGL][NIT No 18/BCD WGL/2023-24][2023_BSNL_166533_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Telengana Telecom Circle- Hyderabad||CE Civil,"13,06,560"
78,79.,04-Sep-2023 11:30 AM,11-Sep-2023 11:30 AM,12-Sep-2023 11:30 AM,[Supply ][IGIB/7-2C/150/23-24(558)][2023_CSIR_166534_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR,NA
79,80.,04-Sep-2023 11:15 AM,19-Sep-2023 03:00 PM,20-Sep-2023 03:00 PM,[GATE VALVES FOR FIRE HYDRANT SYSTEM][100000932][2023_APCPL_166532_1],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,NA
